gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,768,7168,asm,5,6,8.8256,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,1.25,624.74,0.0013
gfx950,256,1,2048,7168,asm,22,7,8.6312,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,3.4,1702.12,0.0107
gfx950,256,1,6144,7168,asm,4,5,12.1066,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,7.28,3639.31,0.0052
gfx950,256,1,7168,384,ck,10,0,4.4519,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1.24,621.58,0.0
gfx950,256,1,7168,768,ck,7,0,5.3743,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.05,1027.13,0.0
gfx950,256,1,7168,3072,asm,2,3,8.0549,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,5.47,2735.91,0.0
gfx950,256,1,7168,7168,ck,7,0,21.0136,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.89,2446.12,0.0
gfx950,256,1,7168,16384,asm,10,3,28.3454,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,8.29,4144.28,0.0017
gfx950,256,1,65536,1536,ck,6,0,17.9824,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,11.2,5605.25,0.0
gfx950,256,2,768,7168,asm,30,7,8.9844,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,2.45,614.67,0.0052
gfx950,256,2,2048,7168,asm,23,8,10.1745,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,5.77,1445.04,0.0134
